split,class_name,image_rel_path,edge_density,edge_mean_length,edge_orient_bin_00,edge_orient_bin_01,edge_orient_bin_02,edge_orient_bin_03,edge_orient_bin_04,edge_orient_bin_05,edge_orient_bin_06,edge_orient_bin_07,edge_orient_bin_08,edge_orient_bin_09,edge_orient_bin_10,edge_orient_bin_11,edge_orient_bin_12,edge_orient_bin_13,edge_orient_bin_14,edge_orient_bin_15,edge_orient_bin_16,edge_orient_bin_17,glcm_contrast_d1_a0,glcm_contrast_d1_a1,glcm_contrast_d1_a2,glcm_contrast_d1_a3,glcm_contrast_d2_a0,glcm_contrast_d2_a1,glcm_contrast_d2_a2,glcm_contrast_d2_a3,glcm_homogeneity_d1_a0,glcm_homogeneity_d1_a1,glcm_homogeneity_d1_a2,glcm_homogeneity_d1_a3,glcm_homogeneity_d2_a0,glcm_homogeneity_d2_a1,glcm_homogeneity_d2_a2,glcm_homogeneity_d2_a3,glcm_energy_d1_a0,glcm_energy_d1_a1,glcm_energy_d1_a2,glcm_energy_d1_a3,glcm_energy_d2_a0,glcm_energy_d2_a1,glcm_energy_d2_a2,glcm_energy_d2_a3,glcm_correlation_d1_a0,glcm_correlation_d1_a1,glcm_correlation_d1_a2,glcm_correlation_d1_a3,glcm_correlation_d2_a0,glcm_correlation_d2_a1,glcm_correlation_d2_a2,glcm_correlation_d2_a3,lbp_bin_00,lbp_bin_01,lbp_bin_02,lbp_bin_03,lbp_bin_04,lbp_bin_05,lbp_bin_06,lbp_bin_07,lbp_bin_08,lbp_bin_09,lbp_bin_10,lbp_bin_11,lbp_bin_12,lbp_bin_13,lbp_bin_14,lbp_bin_15,lbp_bin_16,lbp_bin_17,lbp_bin_18,lbp_bin_19,lbp_bin_20,lbp_bin_21,lbp_bin_22,lbp_bin_23,lbp_bin_24,lbp_bin_25,lbp_bin_26,lbp_bin_27,lbp_bin_28,lbp_bin_29,lbp_bin_30,lbp_bin_31,lbp_bin_32,lbp_bin_33,lbp_bin_34,lbp_bin_35,lbp_bin_36,lbp_bin_37,lbp_bin_38,lbp_bin_39,lbp_bin_40,lbp_bin_41,lbp_bin_42,lbp_bin_43,lbp_bin_44,lbp_bin_45,lbp_bin_46,lbp_bin_47,lbp_bin_48,lbp_bin_49,lbp_bin_50,lbp_bin_51,lbp_bin_52,lbp_bin_53,lbp_bin_54,lbp_bin_55,lbp_bin_56,lbp_bin_57,lbp_bin_58,fft_radial_band_00,fft_radial_band_01,fft_radial_band_02,fft_radial_band_03,fft_radial_band_04,fft_radial_band_05,fft_radial_band_06,fft_radial_band_07,fft_radial_band_08,fft_radial_band_09,fft_radial_band_10,fft_radial_band_11,fft_radial_band_12,fft_radial_band_13,fft_radial_band_14,fft_radial_band_15,gabor_theta0_wl2,gabor_theta0_wl4,gabor_theta0_wl8,gabor_theta0_wl16,gabor_theta1_wl2,gabor_theta1_wl4,gabor_theta1_wl8,gabor_theta1_wl16,gabor_theta2_wl2,gabor_theta2_wl4,gabor_theta2_wl8,gabor_theta2_wl16,gabor_theta3_wl2,gabor_theta3_wl4,gabor_theta3_wl8,gabor_theta3_wl16,gabor_theta4_wl2,gabor_theta4_wl4,gabor_theta4_wl8,gabor_theta4_wl16,curv_mean,curv_std,curv_p95,curv_pitch_ratio,shape_area,shape_perimeter,shape_roundness
train,Corals,geo fossil I/Corals/Coral172.jpg,23.202953338623047,1325.1666259765625,580.0,627.0,709.0,685.0,628.0,555.0,441.0,363.0,280.0,376.0,445.0,669.0,895.0,1120.0,1090.0,1080.0,816.0,639.0,10.296154975891113,12.339069366455078,9.174203872680664,13.140869140625,15.351716041564941,12.339069366455078,14.33924388885498,13.140869140625,0.7536603808403015,0.7407931089401245,0.7710285186767578,0.7199546098709106,0.69356369972229,0.7407931089401245,0.7094035148620605,0.7199546098709106,0.6790609359741211,0.668185830116272,0.6861408352851868,0.6567992568016052,0.6385794281959534,0.668185830116272,0.6481708884239197,0.6567992568016052,0.580696702003479,0.49770674109458923,0.626338541507721,0.4650419354438782,0.3750511109828949,0.49770674109458923,0.415998637676239,0.4650419354438782,0.026955774053931236,0.03292800858616829,0.04836973920464516,0.1177230179309845,0.18621543049812317,0.14774560928344727,0.10368018597364426,0.11449477821588516,0.10900677740573883,0.1128806620836258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048012636601924896,0.06726150959730148,0.0735355094075203,0.07429097592830658,0.07816025614738464,0.07941308617591858,0.08093517273664474,0.08278056979179382,0.08472248911857605,0.08601310104131699,0.08895943313837051,0.07399662584066391,0.04016541689634323,0.023860791698098183,0.01321333646774292,0.004679081961512566,4.37890625,4.04296875,3.263671875,2.5859375,4.0234375,3.4765625,2.81640625,2.306640625,4.01171875,3.220703125,2.759765625,2.19140625,4.05078125,3.4765625,2.970703125,2.3203125,4.1875,4.109375,3.51171875,2.75,0.25385627150535583,0.36939507722854614,0.7155412435531616,1.7250642776489258,74276.0,120.6274185180664,64.14551544189453
train,Ammonites,geo fossil I/Ammonites/Ammonite104.jpg,13.507575988769531,771.4443969726562,117.0,184.0,323.0,431.0,535.0,535.0,546.0,398.0,312.0,310.0,362.0,494.0,530.0,492.0,423.0,324.0,188.0,166.0,12.337423324584961,17.865882873535156,13.406449317932129,17.21227264404297,20.959123611450195,17.865882873535156,22.58684539794922,17.21227264404297,0.7650532722473145,0.7085607647895813,0.7406454682350159,0.7177506685256958,0.6864470839500427,0.7085607647895813,0.6613056063652039,0.7177506685256958,0.5822593569755554,0.5612710118293762,0.5774110555648804,0.5644466876983643,0.5488049387931824,0.5612710118293762,0.5406702756881714,0.5644466876983643,0.7648108005523682,0.6595035195350647,0.7443683743476868,0.6719631552696228,0.6006298661231995,0.6595035195350647,0.5692291855812073,0.6719631552696228,0.04734078422188759,0.05456627160310745,0.05973861739039421,0.09539227187633514,0.16164568066596985,0.13412563502788544,0.0898645743727684,0.10088048130273819,0.11683183908462524,0.13961385190486908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06892016530036926,0.08045759052038193,0.08143112808465958,0.07917355000972748,0.07900011539459229,0.08040094375610352,0.07998225092887878,0.0786660835146904,0.07821275293827057,0.07838967442512512,0.0806831568479538,0.06485720723867416,0.03499441221356392,0.02031797729432583,0.010856807231903076,0.0036561773158609867,2.98046875,3.015625,3.115234375,2.990234375,3.0078125,3.392578125,3.373046875,3.197265625,3.5390625,3.583984375,3.783203125,3.890625,3.501953125,3.353515625,3.369140625,3.388671875,2.990234375,3.123046875,3.0,2.990234375,0.25987133383750916,0.5103257894515991,0.7155412435531616,2.200247287750244,101630.0,163.49746704101562,47.7759895324707
train,Belemnites,geo fossil I/Belemnites/Belemnite113.jpg,5.858860015869141,334.611083984375,344.0,335.0,368.0,322.0,221.0,154.0,87.0,45.0,17.0,19.0,29.0,37.0,60.0,92.0,115.0,198.0,229.0,539.0,5.300658702850342,6.118616104125977,2.4797794818878174,5.790987968444824,8.782803535461426,6.118616104125977,4.305210590362549,5.790987968444824,0.8712755441665649,0.8635820746421814,0.9261037111282349,0.8698080778121948,0.8324042558670044,0.8635820746421814,0.8981285691261292,0.8698080778121948,0.8160005211830139,0.8122321963310242,0.8337414860725403,0.8135095834732056,0.7954094409942627,0.8122321963310242,0.824729323387146,0.8135095834732056,0.7119395732879639,0.6678736209869385,0.8651211261749268,0.6856778264045715,0.5237898826599121,0.6678736209869385,0.7661024928092957,0.6856778264045715,0.029503105208277702,0.04106280207633972,0.04063146933913231,0.11300896853208542,0.28407523036003113,0.1562284380197525,0.06461352854967117,0.08850931376218796,0.09403036534786224,0.08833678066730499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0742524266242981,0.08096693456172943,0.08371546864509583,0.07957658171653748,0.07883202284574509,0.07870391756296158,0.07961571216583252,0.07989557087421417,0.08024981617927551,0.07998357713222504,0.08146458119153976,0.06109525263309479,0.031063003465533257,0.017647331580519676,0.009502755478024483,0.0034350561909377575,3.728515625,4.890625,7.37109375,6.390625,2.154296875,2.421875,2.5390625,2.265625,1.5810546875,1.6435546875,1.2998046875,0.92138671875,1.5615234375,1.572265625,1.263671875,1.0556640625,1.99609375,2.078125,2.001953125,1.93359375,0.2125711590051651,0.26468625664711,0.7071065306663513,3.609438896179199,46337.0,118.42640686035156,41.51840591430664
train,Crinoids,geo fossil I/Crinoids/Crinoid137.jpg,21.77204132080078,1243.4443359375,403.0,717.0,1081.0,1291.0,1244.0,1169.0,930.0,689.0,473.0,347.0,278.0,274.0,254.0,236.0,227.0,226.0,293.0,309.0,21.97176742553711,30.283828735351562,15.701087951660156,20.991849899291992,36.86587905883789,30.283828735351562,27.437423706054688,20.991849899291992,0.6818024516105652,0.6159470081329346,0.7252894639968872,0.7023181319236755,0.5744956135749817,0.6159470081329346,0.6404106020927429,0.7023181319236755,0.553935706615448,0.5243026614189148,0.5733426213264465,0.5570719242095947,0.497151255607605,0.5243026614189148,0.5349584817886353,0.5570719242095947,0.6410970091819763,0.5057520866394043,0.7436441779136658,0.6574074029922485,0.39802107214927673,0.5057520866394043,0.5523350238800049,0.6574074029922485,0.027056917548179626,0.03799818456172943,0.0505589134991169,0.10494924336671829,0.24284078180789948,0.13955050706863403,0.0839356929063797,0.1030137836933136,0.10368526726961136,0.10641071200370789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056358423084020615,0.07688929885625839,0.08162133395671844,0.08108066022396088,0.08117850124835968,0.07974550873041153,0.0785752683877945,0.07853657007217407,0.07888505607843399,0.08115096390247345,0.08186324685811996,0.06889282912015915,0.0368514209985733,0.0219142884016037,0.012411810457706451,0.004044817760586739,4.3125,4.78125,5.2578125,4.7265625,4.546875,5.80078125,6.1484375,5.67578125,3.876953125,3.556640625,3.35546875,3.087890625,3.78125,3.08203125,2.609375,2.201171875,3.990234375,3.048828125,2.369140625,2.1328125,0.21367831528186798,0.30675390362739563,0.7155412435531616,1.6585297584533691,101262.0,74.14213562011719,231.4867706298828
train,Corals,geo fossil I/Corals/Coral16.jpg,18.625202178955078,1063.72216796875,205.0,303.0,438.0,535.0,574.0,588.0,505.0,469.0,376.0,436.0,544.0,764.0,956.0,907.0,811.0,588.0,455.0,340.0,9.970588684082031,13.59815502166748,11.218934059143066,15.282737731933594,16.719087600708008,13.59815502166748,18.615373611450195,15.282737731933594,0.7173882722854614,0.67328941822052,0.6987268924713135,0.6386445164680481,0.619211733341217,0.67328941822052,0.5959578156471252,0.6386445164680481,0.5263747572898865,0.50929856300354,0.5203773975372314,0.4981531798839569,0.48906227946281433,0.50929856300354,0.47779837250709534,0.4981531798839569,0.7131900191307068,0.6089605689048767,0.6772214770317078,0.5605173110961914,0.5192630887031555,0.6089605689048767,0.4645494818687439,0.5605173110961914,0.02216816321015358,0.030219968408346176,0.047728363424539566,0.12858904898166656,0.24659083783626556,0.1932433396577835,0.11073802411556244,0.07695470750331879,0.06677859276533127,0.07698896527290344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06061994284391403,0.07815925776958466,0.08032277226448059,0.0807865560054779,0.08091642707586288,0.08078242838382721,0.07991970330476761,0.07872028648853302,0.07787583768367767,0.07936779409646988,0.08155164122581482,0.06770477443933487,0.035779908299446106,0.02138536237180233,0.011948800645768642,0.004158505238592625,2.642578125,2.771484375,2.673828125,2.1484375,2.4375,2.65234375,2.52734375,2.1328125,2.99609375,2.982421875,3.052734375,2.728515625,3.07421875,3.43359375,3.51171875,3.26171875,2.525390625,3.15625,3.134765625,2.9609375,0.2259000986814499,0.3324897885322571,0.7155412435531616,1.304243803024292,116701.0,505.6467590332031,5.735747337341309
train,Leaf fossils,geo fossil I/Leaf fossils/Leaf fossil94.jpg,9.53195571899414,544.3888549804688,197.0,219.0,227.0,271.0,299.0,306.0,225.0,172.0,161.0,142.0,203.0,368.0,486.0,483.0,428.0,341.0,251.0,175.0,8.031158447265625,10.381499290466309,7.869225025177002,11.038723945617676,13.45088005065918,10.381499290466309,13.10569953918457,11.038723945617676,0.8383525013923645,0.8154475092887878,0.8381704092025757,0.8031877279281616,0.7802755832672119,0.8154475092887878,0.7794396281242371,0.8031877279281616,0.7057864665985107,0.6956131458282471,0.7066168189048767,0.6903870701789856,0.6781874895095825,0.6956131458282471,0.679476261138916,0.6903870701789856,0.7850353717803955,0.7223199605941772,0.7891547083854675,0.7047348022460938,0.6405221223831177,0.7223199605941772,0.6492403149604797,0.7047348022460938,0.04440364986658096,0.05616430565714836,0.054041650146245956,0.08874993026256561,0.14634846150875092,0.12707245349884033,0.09890425205230713,0.1076243445277214,0.12873615324497223,0.1479547917842865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07209110260009766,0.09399314224720001,0.08319614082574844,0.07909543812274933,0.07728944718837738,0.07464537024497986,0.07342741638422012,0.07243543118238449,0.07535894960165024,0.0767856165766716,0.07996255904436111,0.06732185184955597,0.03613732382655144,0.021577324718236923,0.012454819865524769,0.004228048026561737,3.021484375,2.927734375,3.263671875,3.171875,2.9140625,2.77734375,3.1953125,2.8984375,3.275390625,2.943359375,3.17578125,3.21875,3.296875,3.015625,3.279296875,4.46875,2.986328125,3.06640625,3.708984375,4.44921875,0.17771829664707184,0.21765097975730896,0.6400386095046997,2.5231845378875732,69664.0,183.698486328125,25.942218780517578
train,Trilobites,geo fossil I/Trilobites/Trilobite101.jpg,3.8501358032226562,219.8888702392578,114.0,178.0,177.0,157.0,119.0,100.0,91.0,71.0,48.0,62.0,64.0,84.0,109.0,81.0,70.0,66.0,84.0,147.0,3.605821132659912,4.913018226623535,3.6937806606292725,5.246412754058838,6.237466335296631,4.913018226623535,6.502260684967041,5.246412754058838,0.9166587591171265,0.9033278822898865,0.9202607870101929,0.9014757871627808,0.8914152979850769,0.9033278822898865,0.8876947164535522,0.9014757871627808,0.8455373048782349,0.8395721316337585,0.8449699282646179,0.8383186459541321,0.8338072896003723,0.8395721316337585,0.8320842385292053,0.8383186459541321,0.8444632887840271,0.7886594533920288,0.8407489657402039,0.7742877006530762,0.731576681137085,0.7886594533920288,0.7202803492546082,0.7742877006530762,0.05309067294001579,0.07516691833734512,0.06127503886818886,0.08001292496919632,0.14796467125415802,0.11404264718294144,0.09325867146253586,0.12631918489933014,0.1104889065027237,0.13838036358356476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09192831069231033,0.081413634121418,0.08193076401948929,0.08023393154144287,0.07597122341394424,0.07905591279268265,0.07525761425495148,0.07548441737890244,0.07591240853071213,0.0765528753399849,0.0769851952791214,0.061946701258420944,0.03382761403918266,0.019755281507968903,0.010438557714223862,0.0033055527601391077,2.8828125,2.7265625,2.796875,1.5205078125,2.4921875,2.77734375,2.568359375,1.5283203125,2.841796875,2.658203125,2.771484375,2.49609375,2.87890625,2.8671875,3.9921875,4.51953125,2.5078125,2.833984375,3.064453125,3.56640625,0.2211453914642334,0.2523602545261383,0.7155412435531616,1.5402257442474365,37064.0,80.6274185180664,71.64677429199219
train,Trilobites,geo fossil I/Trilobites/Trilobite94.jpg,6.360797882080078,363.27777099609375,15.0,24.0,46.0,85.0,103.0,152.0,237.0,377.0,420.0,436.0,354.0,237.0,144.0,130.0,234.0,43.0,19.0,10.0,6.205637454986572,11.060545921325684,9.397977828979492,11.472495079040527,11.019485473632812,11.060545921325684,15.78380298614502,11.472495079040527,0.8713613748550415,0.801730751991272,0.8130485415458679,0.7977486848831177,0.8127378225326538,0.801730751991272,0.7568597197532654,0.7977486848831177,0.6735740900039673,0.6559953689575195,0.6616664528846741,0.6535242795944214,0.655732274055481,0.6559953689575195,0.6362407803535461,0.6535242795944214,0.8760236501693726,0.7795617580413818,0.8123030066490173,0.7713514566421509,0.7803024649620056,0.7795617580413818,0.6855161190032959,0.7713514566421509,0.0390792042016983,0.0781584084033966,0.04717710614204407,0.08762113004922867,0.1669623702764511,0.124607615172863,0.08288976550102234,0.11473545432090759,0.12656384706497192,0.1322050839662552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08195176720619202,0.07145217061042786,0.08002877235412598,0.08627171814441681,0.08196966350078583,0.08050843328237534,0.08014962077140808,0.0781889334321022,0.07674495130777359,0.07696568220853806,0.07957778871059418,0.06130083277821541,0.0314863882958889,0.018794957548379898,0.010847051627933979,0.0037612812593579292,1.904296875,2.083984375,1.96875,2.140625,1.841796875,2.283203125,2.166015625,1.8076171875,3.216796875,3.328125,3.40234375,2.466796875,3.22265625,3.455078125,3.765625,2.60546875,1.8720703125,2.42578125,2.609375,2.34375,0.22324137389659882,0.26485520601272583,0.7273237109184265,2.3459208011627197,87667.0,425.864990234375,6.0743818283081055
train,Belemnites,geo fossil I/Belemnites/Belemnite129.jpg,3.9902114868164062,227.8888702392578,38.0,45.0,76.0,89.0,82.0,143.0,102.0,94.0,67.0,85.0,122.0,143.0,203.0,234.0,237.0,172.0,105.0,84.0,2.4362592697143555,3.404752016067505,2.8294730186462402,3.769134998321533,4.118633270263672,3.404752016067505,4.624461650848389,3.769134998321533,0.9364519715309143,0.9274777173995972,0.9321829080581665,0.9202967882156372,0.9152646660804749,0.9274777173995972,0.9090942144393921,0.9202967882156372,0.8504331111907959,0.8473703265190125,0.8499616384506226,0.8452098965644836,0.8420573472976685,0.8473703265190125,0.8411964774131775,0.8452098965644836,0.8710601925849915,0.8174623847007751,0.848278820514679,0.7979328036308289,0.7820299863815308,0.8174623847007751,0.7485385537147522,0.7979328036308289,0.04817204177379608,0.060752689838409424,0.048709675669670105,0.09806451946496964,0.16354838013648987,0.15387097001075745,0.08602150529623032,0.09655913710594177,0.11451613157987595,0.1297849416732788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0970044657588005,0.08606620877981186,0.08033143728971481,0.07719295471906662,0.07430343329906464,0.07599357515573502,0.07253902405500412,0.07317249476909637,0.07372841984033585,0.0776289850473404,0.07921648025512695,0.0639505609869957,0.03381585702300072,0.021106310188770294,0.010518364608287811,0.003431423334404826,1.798828125,1.787109375,1.80859375,1.5458984375,1.765625,1.6904296875,1.5947265625,1.6171875,2.259765625,1.9970703125,2.095703125,2.2109375,2.28125,2.208984375,2.279296875,2.939453125,1.935546875,2.1640625,2.482421875,2.48828125,0.2275373488664627,0.5410102009773254,0.7155412435531616,5.603620529174805,36879.0,196.91168212890625,11.952149391174316
train,Crinoids,geo fossil I/Crinoids/Crinoid53.jpg,14.87039566040039,849.2777099609375,136.0,173.0,215.0,309.0,374.0,474.0,525.0,433.0,465.0,599.0,700.0,767.0,708.0,626.0,433.0,328.0,215.0,155.0,6.077956676483154,9.073678970336914,7.371737003326416,9.461898803710938,10.127138137817383,9.073678970336914,11.541861534118652,9.461898803710938,0.8626877665519714,0.8347692489624023,0.8449580669403076,0.8275223970413208,0.8229352831840515,0.8347692489624023,0.8053941130638123,0.8275223970413208,0.8067695498466492,0.7919462323188782,0.7999999523162842,0.7879812717437744,0.7844797968864441,0.7919462323188782,0.7720485925674438,0.7879812717437744,0.7178761959075928,0.5792562961578369,0.6575471758842468,0.5612546801567078,0.5307537913322449,0.5792562961578369,0.4647311866283417,0.5612546801567078,0.03010033443570137,0.04374229907989502,0.05315965414047241,0.09980637580156326,0.179985910654068,0.14610104262828827,0.10174264758825302,0.11987326294183731,0.11036789417266846,0.11512057483196259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05914635956287384,0.07701323181390762,0.0771121233701706,0.07738961279392242,0.07921312749385834,0.07955730706453323,0.08040938526391983,0.08117793500423431,0.0822601392865181,0.08169542998075485,0.08542634546756744,0.06887056678533554,0.03491940349340439,0.01997469551861286,0.011613301932811737,0.004221038427203894,3.828125,3.51171875,3.0390625,2.388671875,3.6171875,3.5078125,2.921875,2.349609375,5.140625,4.19140625,3.85546875,3.568359375,5.19140625,4.4296875,3.9765625,3.259765625,3.751953125,3.939453125,3.51953125,3.064453125,0.25405651330947876,0.24555249512195587,0.7267345786094666,1.9173595905303955,45567.0,242.56854248046875,9.731759071350098
