split,class_name,image_rel_path,edge_density,edge_mean_length,edge_orient_bin_00,edge_orient_bin_01,edge_orient_bin_02,edge_orient_bin_03,edge_orient_bin_04,edge_orient_bin_05,edge_orient_bin_06,edge_orient_bin_07,edge_orient_bin_08,edge_orient_bin_09,edge_orient_bin_10,edge_orient_bin_11,edge_orient_bin_12,edge_orient_bin_13,edge_orient_bin_14,edge_orient_bin_15,edge_orient_bin_16,edge_orient_bin_17,glcm_contrast_d1_a0,glcm_contrast_d1_a1,glcm_contrast_d1_a2,glcm_contrast_d1_a3,glcm_contrast_d2_a0,glcm_contrast_d2_a1,glcm_contrast_d2_a2,glcm_contrast_d2_a3,glcm_homogeneity_d1_a0,glcm_homogeneity_d1_a1,glcm_homogeneity_d1_a2,glcm_homogeneity_d1_a3,glcm_homogeneity_d2_a0,glcm_homogeneity_d2_a1,glcm_homogeneity_d2_a2,glcm_homogeneity_d2_a3,glcm_energy_d1_a0,glcm_energy_d1_a1,glcm_energy_d1_a2,glcm_energy_d1_a3,glcm_energy_d2_a0,glcm_energy_d2_a1,glcm_energy_d2_a2,glcm_energy_d2_a3,glcm_correlation_d1_a0,glcm_correlation_d1_a1,glcm_correlation_d1_a2,glcm_correlation_d1_a3,glcm_correlation_d2_a0,glcm_correlation_d2_a1,glcm_correlation_d2_a2,glcm_correlation_d2_a3,fft_radial_band_00,fft_radial_band_01,fft_radial_band_02,fft_radial_band_03,fft_radial_band_04,fft_radial_band_05,fft_radial_band_06,fft_radial_band_07,fft_radial_band_08,fft_radial_band_09,fft_radial_band_10,fft_radial_band_11,fft_radial_band_12,fft_radial_band_13,fft_radial_band_14,fft_radial_band_15,gabor_theta0_wl2,gabor_theta0_wl4,gabor_theta0_wl8,gabor_theta0_wl16,gabor_theta1_wl2,gabor_theta1_wl4,gabor_theta1_wl8,gabor_theta1_wl16,gabor_theta2_wl2,gabor_theta2_wl4,gabor_theta2_wl8,gabor_theta2_wl16,gabor_theta3_wl2,gabor_theta3_wl4,gabor_theta3_wl8,gabor_theta3_wl16,gabor_theta4_wl2,gabor_theta4_wl4,gabor_theta4_wl8,gabor_theta4_wl16,curv_mean,curv_std,curv_p95,curv_pitch_ratio,shape_area,shape_perimeter,shape_roundness
train,Corals,geo fossil I/Corals/Coral172.jpg,23.202953338623047,1325.1666259765625,580.0,627.0,709.0,685.0,628.0,555.0,441.0,363.0,280.0,376.0,445.0,669.0,895.0,1120.0,1090.0,1080.0,816.0,639.0,12.648201942443848,15.800156593322754,11.424867630004883,15.742765426635742,18.66897964477539,15.800156593322754,17.54635238647461,15.742765426635742,0.7428805828094482,0.7283446192741394,0.7582653164863586,0.7069551348686218,0.6790623068809509,0.7283446192741394,0.6953007578849792,0.7069551348686218,0.670852541923523,0.6592667102813721,0.6781179308891296,0.6469172835350037,0.627602756023407,0.6592667102813721,0.637876570224762,0.6469172835350037,0.5447955131530762,0.43145811557769775,0.5885182619094849,0.4334993362426758,0.32876577973365784,0.43145811557769775,0.36812660098075867,0.4334993362426758,0.0452134907245636,0.06024644896388054,0.07031711935997009,0.07479416579008102,0.07813465595245361,0.08149765431880951,0.0837094709277153,0.0847480297088623,0.08490580320358276,0.08689174056053162,0.09191922843456268,0.07500270009040833,0.040781665593385696,0.024205951020121574,0.013049941509962082,0.0045819333754479885,4.484375,4.50390625,3.513671875,2.296875,4.40625,3.9375,2.955078125,2.357421875,4.34765625,3.828125,3.017578125,2.2421875,4.35546875,3.748046875,3.087890625,2.16796875,4.3984375,4.1875,3.51171875,2.666015625,0.25385627150535583,0.36939507722854614,0.7155412435531616,1.7250642776489258,74276.0,120.6274185180664,64.14551544189453
train,Ammonites,geo fossil I/Ammonites/Ammonite104.jpg,13.507575988769531,771.4443969726562,117.0,184.0,323.0,431.0,535.0,535.0,546.0,398.0,312.0,310.0,362.0,494.0,530.0,492.0,423.0,324.0,188.0,166.0,15.171984672546387,22.24432373046875,16.682415008544922,20.406383514404297,24.73900032043457,22.24432373046875,26.807231903076172,20.406383514404297,0.7582713961601257,0.6967567801475525,0.7320470213890076,0.7086107730865479,0.6752104163169861,0.6967567801475525,0.6501665115356445,0.7086107730865479,0.5756826996803284,0.5530372858047485,0.5702818632125854,0.5567044019699097,0.5404596328735352,0.5530372858047485,0.5324223041534424,0.5567044019699097,0.7294953465461731,0.6035199761390686,0.7024909853935242,0.6362829208374023,0.5592471361160278,0.6035199761390686,0.5219917893409729,0.6362829208374023,0.06452874839305878,0.07409483194351196,0.07819816470146179,0.07694562524557114,0.07808369398117065,0.07852670550346375,0.07829757034778595,0.081446573138237,0.07901197671890259,0.08143150061368942,0.08410006761550903,0.0700162723660469,0.037532418966293335,0.022343384101986885,0.011288035660982132,0.004154444672167301,3.2109375,3.23046875,3.349609375,2.8671875,3.380859375,3.6953125,3.673828125,3.095703125,3.90234375,3.904296875,4.06640625,3.7578125,3.841796875,3.583984375,3.625,3.578125,3.21484375,3.28515625,3.16015625,3.041015625,0.25987133383750916,0.5103257894515991,0.7155412435531616,2.200247287750244,101630.0,163.49746704101562,47.7759895324707
train,Belemnites,geo fossil I/Belemnites/Belemnite113.jpg,5.858860015869141,334.611083984375,344.0,335.0,368.0,322.0,221.0,154.0,87.0,45.0,17.0,19.0,29.0,37.0,60.0,92.0,115.0,198.0,229.0,539.0,6.750140190124512,7.687747478485107,2.9474895000457764,7.127470970153809,10.77401065826416,7.687747478485107,4.877875804901123,7.127470970153809,0.8633984923362732,0.8553833365440369,0.924521803855896,0.8620041608810425,0.822221040725708,0.8553833365440369,0.8972358107566833,0.8620041608810425,0.8119779229164124,0.8080539107322693,0.831574022769928,0.8095407485961914,0.7891442179679871,0.8080539107322693,0.8225974440574646,0.8095407485961914,0.654731273651123,0.6074466705322266,0.8491232395172119,0.6360840797424316,0.4503098428249359,0.6074466705322266,0.750696063041687,0.6360840797424316,0.06933862715959549,0.07504073530435562,0.07876261323690414,0.07768719643354416,0.0785224512219429,0.07909858226776123,0.07793892920017242,0.08147763460874557,0.08430135995149612,0.08174127340316772,0.08394519984722137,0.06675185263156891,0.03235454112291336,0.01903524622321129,0.010384258814156055,0.0036194990389049053,4.04296875,5.59375,8.015625,6.0859375,2.44921875,2.6875,2.6875,2.212890625,1.7578125,1.7265625,1.326171875,0.90673828125,1.7041015625,1.58203125,1.1806640625,1.0146484375,2.236328125,2.244140625,2.03515625,2.17578125,0.2125711590051651,0.26468625664711,0.7071065306663513,3.609438896179199,46337.0,118.42640686035156,41.51840591430664
train,Crinoids,geo fossil I/Crinoids/Crinoid137.jpg,21.77204132080078,1243.4443359375,403.0,717.0,1081.0,1291.0,1244.0,1169.0,930.0,689.0,473.0,347.0,278.0,274.0,254.0,236.0,227.0,226.0,293.0,309.0,26.873197555541992,37.26055145263672,18.886531829833984,24.969192504882812,44.28432846069336,37.26055145263672,32.46702194213867,24.969192504882812,0.6639339923858643,0.5946670174598694,0.7157784700393677,0.6885097026824951,0.5530969500541687,0.5946670174598694,0.6261759400367737,0.6885097026824951,0.5447525978088379,0.5116932988166809,0.5662315487861633,0.5487650632858276,0.4837771952152252,0.5116932988166809,0.5250762104988098,0.5487650632858276,0.5950891971588135,0.43912750482559204,0.7155219912528992,0.624152421951294,0.33310380578041077,0.43912750482559204,0.5115070343017578,0.624152421951294,0.05156981199979782,0.07169045507907867,0.0777135118842125,0.08002393692731857,0.08269143104553223,0.08118461072444916,0.07987263798713684,0.08081306517124176,0.08212090283632278,0.0803912878036499,0.0840780958533287,0.07023664563894272,0.038052964955568314,0.02276950143277645,0.012409507296979427,0.00438162824138999,4.54296875,5.2578125,5.40625,4.734375,4.84765625,6.2578125,6.41015625,5.50390625,4.17578125,3.853515625,3.568359375,3.1484375,4.05078125,3.291015625,2.8359375,2.1796875,4.2734375,3.15234375,2.5390625,2.2421875,0.21367831528186798,0.30675390362739563,0.7155412435531616,1.6585297584533691,101262.0,74.14213562011719,231.4867706298828
train,Corals,geo fossil I/Corals/Coral16.jpg,18.625202178955078,1063.72216796875,205.0,303.0,438.0,535.0,574.0,588.0,505.0,469.0,376.0,436.0,544.0,764.0,956.0,907.0,811.0,588.0,455.0,340.0,11.892056465148926,16.51006507873535,13.427990913391113,17.801584243774414,19.4344425201416,16.51006507873535,21.613859176635742,17.801584243774414,0.7009456157684326,0.6564990282058716,0.6809364557266235,0.6195416450500488,0.6023765802383423,0.6564990282058716,0.5780693888664246,0.6195416450500488,0.5209792852401733,0.5025505423545837,0.5141312479972839,0.48953768610954285,0.4805944561958313,0.5025505423545837,0.4686715304851532,0.48953768610954285,0.676967978477478,0.5518637895584106,0.6353117227554321,0.5168077349662781,0.47237545251846313,0.5518637895584106,0.41312021017074585,0.5168077349662781,0.055909331887960434,0.07226485013961792,0.07935424894094467,0.07640140503644943,0.08121620118618011,0.08382397890090942,0.08056002110242844,0.0807986631989479,0.07946211099624634,0.08067551255226135,0.08300121873617172,0.07026098668575287,0.037802137434482574,0.022084638476371765,0.012158295139670372,0.004226403776556253,2.892578125,3.05859375,2.75390625,2.041015625,2.703125,2.958984375,2.685546875,2.205078125,3.3359375,3.36328125,3.373046875,2.72265625,3.404296875,3.71484375,3.638671875,3.193359375,2.822265625,3.3359375,3.16015625,2.8984375,0.2259000986814499,0.3324897885322571,0.7155412435531616,1.304243803024292,116701.0,505.6467590332031,5.735747337341309
train,Leaf fossils,geo fossil I/Leaf fossils/Leaf fossil94.jpg,9.53195571899414,544.3888549804688,197.0,219.0,227.0,271.0,299.0,306.0,225.0,172.0,161.0,142.0,203.0,368.0,486.0,483.0,428.0,341.0,251.0,175.0,9.744314193725586,12.814977645874023,9.619194030761719,13.197088241577148,16.117841720581055,12.814977645874023,15.66668701171875,13.197088241577148,0.8322668671607971,0.8083841800689697,0.8325791954994202,0.7946839928627014,0.7702596187591553,0.8083841800689697,0.7700532078742981,0.7946839928627014,0.7019975781440735,0.691339910030365,0.7031570076942444,0.6848757266998291,0.6716040372848511,0.691339910030365,0.6736468076705933,0.6848757266998291,0.7520800828933716,0.6742150783538818,0.7549671530723572,0.664492666721344,0.590709924697876,0.6742150783538818,0.6015079021453857,0.664492666721344,0.06694190204143524,0.08500386774539948,0.08091956377029419,0.0770334005355835,0.0790930986404419,0.07590977847576141,0.07551530748605728,0.07694191485643387,0.07619920372962952,0.0786818265914917,0.0828777402639389,0.06862019747495651,0.0373821035027504,0.022518904879689217,0.012178434059023857,0.004182745236903429,3.337890625,3.271484375,3.564453125,2.9140625,3.271484375,3.224609375,3.330078125,2.7890625,3.65234375,3.451171875,3.41796875,2.9765625,3.654296875,3.265625,3.580078125,4.21875,3.306640625,3.37890625,3.8671875,4.25,0.17771829664707184,0.21765097975730896,0.6400386095046997,2.5231845378875732,69664.0,183.698486328125,25.942218780517578
train,Trilobites,geo fossil I/Trilobites/Trilobite101.jpg,3.8501358032226562,219.8888702392578,114.0,178.0,177.0,157.0,119.0,100.0,91.0,71.0,48.0,62.0,64.0,84.0,109.0,81.0,70.0,66.0,84.0,147.0,4.300768852233887,5.986245632171631,4.470031261444092,6.163264751434326,7.011562824249268,5.986245632171631,7.592503070831299,6.163264751434326,0.9162462949752808,0.9006243348121643,0.9163913726806641,0.8974680304527283,0.8909804821014404,0.9006243348121643,0.8826872706413269,0.8974680304527283,0.8442747592926025,0.8377162218093872,0.8433051705360413,0.8358908295631409,0.8325208425521851,0.8377162218093872,0.8295437097549438,0.8358908295631409,0.8199818730354309,0.7501195073127747,0.8129295706748962,0.7426866888999939,0.7073265910148621,0.7501195073127747,0.6830086708068848,0.7426866888999939,0.08701271563768387,0.07690458744764328,0.07852267473936081,0.07831034064292908,0.07495801895856857,0.07519468665122986,0.07775899767875671,0.07761724293231964,0.07895767688751221,0.0773523673415184,0.08033029735088348,0.06736800819635391,0.034580059349536896,0.020930904895067215,0.010667268186807632,0.003534159157425165,3.041015625,2.814453125,2.71484375,1.4990234375,2.6953125,2.96484375,2.669921875,1.576171875,3.14453125,2.9453125,2.7421875,2.48046875,3.171875,3.126953125,4.5390625,4.92578125,2.697265625,2.85546875,3.09765625,3.873046875,0.2211453914642334,0.2523602545261383,0.7155412435531616,1.5402257442474365,37064.0,80.6274185180664,71.64677429199219
train,Trilobites,geo fossil I/Trilobites/Trilobite94.jpg,6.360797882080078,363.27777099609375,15.0,24.0,46.0,85.0,103.0,152.0,237.0,377.0,420.0,436.0,354.0,237.0,144.0,130.0,234.0,43.0,19.0,10.0,7.179832458496094,12.985441207885742,11.07295036315918,13.045989036560059,12.433357238769531,12.985441207885742,17.654781341552734,13.045989036560059,0.867051362991333,0.794087827205658,0.8057318925857544,0.7901738286018372,0.805810272693634,0.794087827205658,0.7509884834289551,0.7901738286018372,0.67125004529953,0.6519755125045776,0.6578991413116455,0.649400532245636,0.652131974697113,0.6519755125045776,0.6321309208869934,0.649400532245636,0.8593183755874634,0.7462618947029114,0.7831136584281921,0.7450786232948303,0.7569514513015747,0.7462618947029114,0.6551322340965271,0.7450786232948303,0.08039747923612595,0.06744055449962616,0.07455448061227798,0.08117765933275223,0.08196641504764557,0.07864416390657425,0.08130860328674316,0.07962050288915634,0.07944202423095703,0.07962974160909653,0.08142124861478806,0.06591770797967911,0.03382128104567528,0.01959332451224327,0.01105812843888998,0.004006687551736832,2.134765625,2.109375,2.08203125,2.23046875,2.11328125,2.513671875,2.27734375,1.9169921875,3.552734375,3.58984375,3.23046875,2.37890625,3.50390625,3.63671875,3.595703125,2.509765625,2.1015625,2.513671875,2.6796875,2.36328125,0.22324137389659882,0.26485520601272583,0.7273237109184265,2.3459208011627197,87667.0,425.864990234375,6.0743818283081055
train,Belemnites,geo fossil I/Belemnites/Belemnite129.jpg,3.9902114868164062,227.8888702392578,38.0,45.0,76.0,89.0,82.0,143.0,102.0,94.0,67.0,85.0,122.0,143.0,203.0,234.0,237.0,172.0,105.0,84.0,2.8640694618225098,4.179673671722412,3.4457478523254395,4.4231133460998535,4.829935073852539,4.179673671722412,5.501729488372803,4.4231133460998535,0.9336784482002258,0.9239831566810608,0.9296937584877014,0.9167194366455078,0.9117043018341064,0.9239831566810608,0.9046127200126648,0.9167194366455078,0.8483145236968994,0.844916582107544,0.8477131128311157,0.8426252007484436,0.8393101692199707,0.844916582107544,0.8382349014282227,0.8426252007484436,0.8536862730979919,0.7834250926971436,0.8214353919029236,0.7708194255828857,0.7532561421394348,0.7834250926971436,0.7107001543045044,0.7708194255828857,0.0923515111207962,0.0828043594956398,0.07598501443862915,0.07618542015552521,0.07744341343641281,0.07709945738315582,0.07559127360582352,0.07444533705711365,0.07460334151983261,0.07668055593967438,0.08120719343423843,0.0662197470664978,0.034749940037727356,0.02047029323875904,0.010700260289013386,0.0034628838766366243,1.9013671875,1.912109375,1.8798828125,1.591796875,1.8994140625,1.8232421875,1.75390625,1.7939453125,2.40234375,2.25,2.296875,2.283203125,2.462890625,2.40625,2.458984375,3.181640625,1.9619140625,2.330078125,2.646484375,2.517578125,0.2275373488664627,0.5410102009773254,0.7155412435531616,5.603620529174805,36879.0,196.91168212890625,11.952149391174316
train,Crinoids,geo fossil I/Crinoids/Crinoid53.jpg,14.87039566040039,849.2777099609375,136.0,173.0,215.0,309.0,374.0,474.0,525.0,433.0,465.0,599.0,700.0,767.0,708.0,626.0,433.0,328.0,215.0,155.0,7.121596813201904,10.856040000915527,8.804211616516113,10.75271987915039,11.640604972839355,10.856040000915527,13.43259334564209,10.75271987915039,0.8579661250114441,0.8274972438812256,0.8393316268920898,0.8210574388504028,0.8165438771247864,0.8274972438812256,0.7989434003829956,0.8210574388504028,0.8028416037559509,0.7869982719421387,0.7953173518180847,0.7828285694122314,0.7789891362190247,0.7869982719421387,0.7663918733596802,0.7828285694122314,0.6907070279121399,0.529120683670044,0.6172919869422913,0.5336021780967712,0.49551451206207275,0.529120683670044,0.4170989990234375,0.5336021780967712,0.05450296029448509,0.07434184849262238,0.07280480116605759,0.07672488689422607,0.07720835506916046,0.08070433139801025,0.0811179056763649,0.0826173722743988,0.0832689180970192,0.08252187073230743,0.08644169569015503,0.07244253903627396,0.0372350811958313,0.021913383156061172,0.012105274014174938,0.004048782400786877,4.01171875,3.65234375,3.111328125,2.361328125,4.03125,3.900390625,2.841796875,2.435546875,5.47265625,4.7421875,3.9375,3.46875,5.46484375,4.5078125,3.84375,3.32421875,4.0390625,4.01171875,3.591796875,3.125,0.25405651330947876,0.24555249512195587,0.7267345786094666,1.9173595905303955,45567.0,242.56854248046875,9.731759071350098
